ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030098	Lymphocyte Differentiation	48/241	471/28943	8.68E-38	2.58E-34	1.81E-34	Lck/Relb/Il7r/Ly9/Spib/Pou2f2/Slamf6/Slamf1/Ikzf3/Ikzf1/Tnfaip3/Irf4/Nckap1l/Cd4/Cd74/Ms4a1/Ctla4/Cd28/Inpp5d/Ptprc/Cr2/Il1a/Tnfsf8/Laptm5/Rhoh/Dock11/Sash3/Btk/Pou2af1/Cd3e/Lyl1/Vav1/Tespa1/H2-Aa/Ccr7/Gimap3/Foxp3/Cd79b/Ccr6/Pla2g2d/Irf8/Zc3h12a/Tlr9/Gpr18/Gpr183/Slamf8/Il4i1/Bcl2a1d	48
GO:0070661	Leukocyte Proliferation	41/241	384/28943	4.36E-33	6.47E-30	4.54E-30	Il7r/Bid/Tnfrsf13b/Blk/Slamf6/Slamf1/Cd40/Ikzf3/Cd180/Clu/Nckap1l/Cd4/Cd74/Cd6/Ctla4/Cd28/Inpp5d/Ptprc/Cr2/Il1a/Laptm5/Siglecg/Coro1a/Cd37/Sash3/Btk/Cd3e/Rac2/H2-Aa/Ccr7/Foxp3/Zc3h12d/Pla2g2d/Tlr9/Cxcr4/Gpr183/Btla/Rasal3/Stat4/Csf2rb2/Il4i1	41
GO:0046651	Lymphocyte Proliferation	38/241	344/28943	3.04E-31	3.01E-28	2.11E-28	Il7r/Bid/Tnfrsf13b/Blk/Slamf6/Slamf1/Cd40/Ikzf3/Cd180/Nckap1l/Cd4/Cd74/Cd6/Ctla4/Cd28/Inpp5d/Ptprc/Cr2/Il1a/Laptm5/Siglecg/Coro1a/Cd37/Sash3/Btk/Cd3e/Rac2/H2-Aa/Ccr7/Foxp3/Zc3h12d/Pla2g2d/Tlr9/Cxcr4/Gpr183/Btla/Rasal3/Il4i1	38
GO:0050670	Regulation Of Lymphocyte Proliferation	33/241	253/28943	1.35E-29	7.98E-27	5.59E-27	Bid/Tnfrsf13b/Blk/Slamf1/Cd40/Ikzf3/Nckap1l/Cd4/Cd74/Cd6/Ctla4/Cd28/Inpp5d/Ptprc/Il1a/Laptm5/Siglecg/Coro1a/Cd37/Sash3/Btk/Cd3e/Rac2/H2-Aa/Ccr7/Foxp3/Zc3h12d/Pla2g2d/Tlr9/Gpr183/Btla/Rasal3/Il4i1	33
GO:0007159	Leukocyte Cell-Cell Adhesion	39/241	411/28943	1.61E-29	7.98E-27	5.59E-27	Lck/Itgb7/Efnb2/Il7r/Slamf1/Nckap1l/Cd4/Tnf/Cd74/Cd6/Icos/Ctla4/Cd28/Ptprc/Sell/Itga4/Il1a/Laptm5/Rhoh/Coro1a/Cd37/Sash3/Ets1/Cd3e/Rac2/Tespa1/H2-Aa/Icam1/Ccr7/Gimap3/Foxp3/Zc3h12d/Pla2g2d/H2-Ob/Zc3h12a/Btla/Rasal3/H2-Eb1/Il4i1	39
GO:0070663	Regulation Of Leukocyte Proliferation	34/241	280/28943	2.09E-29	8.87E-27	6.22E-27	Bid/Tnfrsf13b/Blk/Slamf1/Cd40/Ikzf3/Nckap1l/Cd4/Cd74/Cd6/Ctla4/Cd28/Inpp5d/Ptprc/Il1a/Laptm5/Siglecg/Coro1a/Cd37/Sash3/Btk/Cd3e/Rac2/H2-Aa/Ccr7/Foxp3/Zc3h12d/Pla2g2d/Tlr9/Gpr183/Btla/Rasal3/Csf2rb2/Il4i1	34
GO:1903037	Regulation Of Leukocyte Cell-Cell Adhesion	36/241	371/28943	1.27E-27	4.18E-25	2.93E-25	Lck/Efnb2/Il7r/Slamf1/Nckap1l/Cd4/Tnf/Cd74/Cd6/Icos/Ctla4/Cd28/Ptprc/Itga4/Il1a/Laptm5/Rhoh/Coro1a/Cd37/Sash3/Ets1/Cd3e/Tespa1/H2-Aa/Icam1/Ccr7/Gimap3/Foxp3/Zc3h12d/Pla2g2d/H2-Ob/Zc3h12a/Btla/Rasal3/H2-Eb1/Il4i1	36
GO:0042113	B Cell Activation	38/241	440/28943	2.90E-27	7.83E-25	5.49E-25	Il7r/Spib/Pou2f2/Tnfrsf13b/Blk/Cd40/Ikzf3/Ikzf1/Tnfaip3/Cd180/Nckap1l/Cd74/Ms4a1/Ctla4/Cd28/Inpp5d/Ptprc/Cr2/Laptm5/Siglecg/Dock11/Sash3/Btk/Pou2af1/Lyl1/Bank1/Foxp3/Pik3cd/Cd79b/Aicda/Ccr6/Irf8/Tlr9/Cxcr5/Gpr183/Btla/Slamf8/Il4i1	38
GO:0050863	Regulation Of T Cell Activation	35/241	378/28943	3.55E-26	8.77E-24	6.15E-24	Lck/Efnb2/Il7r/Bid/Slamf1/Nckap1l/Cd4/Cd74/Cd6/Icos/Ctla4/Cd28/Ptprc/Il1a/Laptm5/Rhoh/Coro1a/Lat/Cd37/Sash3/Cd3e/Rac2/Tespa1/H2-Aa/Ccr7/Gimap3/Foxp3/Zc3h12d/Pla2g2d/H2-Ob/Zc3h12a/Btla/Rasal3/H2-Eb1/Il4i1	35
GO:0032103	Positive Regulation Of Response To External Stimulus	37/241	459/28943	1.70E-25	3.88E-23	2.72E-23	Il16/Sh2d1a/Cyba/Slamf6/Slamf1/Cd180/Nckap1l/Cxcl13/C3/Sting1/Tnf/Cd74/Tasl/Ly96/Cd28/Sell/Cxcl1/Ptn/Trim30a/Ets1/Rac2/Vav1/Cxcl10/Ccl7/Aim2/Ccr7/Ctss/Nlrc4/Gimap3/Ccr6/Ifi209/Tlr9/Cxcr4/Ccr4/Mmp12/Scimp/Klri1	37
